,date,new_cases,total_cases
0,2020-02-11,1,1
1,2020-02-12,0,1
2,2020-02-13,0,1
3,2020-02-14,0,1
4,2020-02-15,0,1
5,2020-02-16,0,1
6,2020-02-17,0,1
7,2020-02-18,0,1
8,2020-02-19,0,1
9,2020-02-20,0,1
10,2020-02-21,0,1
11,2020-02-22,0,1
12,2020-02-23,0,1
13,2020-02-24,1,1
14,2020-02-25,3,2
15,2020-02-26,2,2
16,2020-02-27,2,2
17,2020-02-28,3,3
18,2020-02-29,1,3
19,2020-03-01,4,3
20,2020-03-02,12,6
21,2020-03-03,6,6
22,2020-03-04,18,10
23,2020-03-05,14,16
24,2020-03-06,24,16
25,2020-03-07,15,17
26,2020-03-08,22,19
27,2020-03-09,52,23
28,2020-03-10,92,33
29,2020-03-11,183,43
30,2020-03-12,164,52
31,2020-03-13,134,59
32,2020-03-14,150,68
33,2020-03-15,165,76
34,2020-03-16,233,92
35,2020-03-17,311,111
36,2020-03-18,355,131
37,2020-03-19,332,146
38,2020-03-20,426,174
39,2020-03-21,350,192
40,2020-03-22,438,225
41,2020-03-23,689,253
42,2020-03-24,634,283
43,2020-03-25,760,315
44,2020-03-26,766,357
45,2020-03-27,818,399
46,2020-03-28,576,433
47,2020-03-29,596,480
48,2020-03-30,867,537
49,2020-03-31,935,583
50,2020-04-01,979,639
51,2020-04-02,1070,698
52,2020-04-03,982,753
53,2020-04-04,765,802
54,2020-04-05,632,838
55,2020-04-06,859,875
56,2020-04-07,952,903
57,2020-04-08,875,946
58,2020-04-09,801,978
59,2020-04-10,620,1015
60,2020-04-11,522,1037
61,2020-04-12,501,1064
62,2020-04-13,599,1090
63,2020-04-14,597,1135
64,2020-04-15,658,1178
65,2020-04-16,576,1211
66,2020-04-17,579,1245
67,2020-04-18,401,1277
68,2020-04-19,395,1291
69,2020-04-20,435,1317
70,2020-04-21,466,1341
71,2020-04-22,399,1369
72,2020-04-23,522,1402
73,2020-04-24,378,1426
74,2020-04-25,333,1441
75,2020-04-26,311,1463
76,2020-04-27,418,1498
77,2020-04-28,311,1530
78,2020-04-29,428,1548
79,2020-04-30,423,1573
80,2020-05-01,354,1592
81,2020-05-02,248,1611
82,2020-05-03,168,1618
83,2020-05-04,246,1632
84,2020-05-05,216,1640
85,2020-05-06,267,1650
86,2020-05-07,271,1659
87,2020-05-08,206,1672
88,2020-05-09,129,1678
89,2020-05-10,125,1681
90,2020-05-11,160,1685
91,2020-05-12,193,1695
92,2020-05-13,204,1703
93,2020-05-14,158,1712
94,2020-05-15,132,1722
95,2020-05-16,76,1731
96,2020-05-17,78,1733
97,2020-05-18,112,1739
98,2020-05-19,128,1745
99,2020-05-20,143,1757
100,2020-05-21,158,1766
101,2020-05-22,82,1769
102,2020-05-23,65,1777
103,2020-05-24,50,1780
104,2020-05-25,57,1786
105,2020-05-26,66,1791
106,2020-05-27,85,1796
107,2020-05-28,75,1797
108,2020-05-29,56,1802
109,2020-05-30,39,1802
110,2020-05-31,38,1803
111,2020-06-01,49,1804
112,2020-06-02,49,1809
113,2020-06-03,79,1811
114,2020-06-04,57,1813
115,2020-06-05,45,1816
116,2020-06-06,46,1818
117,2020-06-07,45,1819
118,2020-06-08,56,1821
119,2020-06-09,71,1824
120,2020-06-10,52,1824
121,2020-06-11,47,1827
122,2020-06-12,53,1827
123,2020-06-13,39,1827
124,2020-06-14,31,1828
125,2020-06-15,41,1828
126,2020-06-16,46,1828
127,2020-06-17,42,1829
128,2020-06-18,46,1831
129,2020-06-19,37,1831
130,2020-06-20,29,1833
131,2020-06-21,27,1834
132,2020-06-22,51,1835
133,2020-06-23,48,1836
134,2020-06-24,46,1840
135,2020-06-25,57,1842
136,2020-06-26,48,1845
137,2020-06-27,32,1845
138,2020-06-28,22,1845
139,2020-06-29,58,1845
140,2020-06-30,52,1847
141,2020-07-01,42,1847
142,2020-07-02,40,1848
143,2020-07-03,38,1849
144,2020-07-04,32,1849
145,2020-07-05,51,1851
146,2020-07-06,54,1858
147,2020-07-07,61,1858
148,2020-07-08,57,1859
149,2020-07-09,54,1861
150,2020-07-10,40,1862
151,2020-07-11,19,1863
152,2020-07-12,38,1864
153,2020-07-13,85,1864
154,2020-07-14,62,1865
155,2020-07-15,76,1867
156,2020-07-16,70,1869
157,2020-07-17,48,1870
158,2020-07-18,48,1870
