,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,area_name,total_cases,area_code,tot_mobility
0,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-17,-3.0,-2.0,4.0,-1.0,-4.0,,City of London,104,E09000001,-2.5
1,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-18,-2.0,-2.0,-1.0,-2.0,-2.0,,City of London,104,E09000001,-2.0
2,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-19,-7.0,-4.0,5.0,0.0,-4.0,,City of London,104,E09000001,-3.75
3,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-20,-7.0,-7.0,-11.0,-3.0,-3.0,,City of London,104,E09000001,-5.0
4,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-21,-3.0,-2.0,5.0,-3.0,-4.0,,City of London,104,E09000001,-3.0
5,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-24,-7.0,-12.0,-13.0,-1.0,2.0,,City of London,104,E09000001,-4.5
6,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-25,-1.0,1.0,-5.0,-1.0,3.0,,City of London,104,E09000001,0.5
7,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-26,0.0,-3.0,1.0,-3.0,6.0,,City of London,104,E09000001,0.0
8,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-27,0.0,-4.0,-9.0,-1.0,4.0,,City of London,104,E09000001,-0.25
9,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-28,-2.0,-6.0,-12.0,0.0,0.0,,City of London,104,E09000001,-2.0
10,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-02,-2.0,0.0,-25.0,-4.0,4.0,,City of London,104,E09000001,-0.5
11,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-03,-5.0,-1.0,-11.0,-7.0,3.0,,City of London,104,E09000001,-2.5
