,area_name,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,total_cases,tot_mobility,income,White,Asian,Black,Mixed/ Other,Total
0,Barking and Dagenham,-33.31320754716981,-8.664150943396226,47.951219512195124,-40.177358490566036,-43.74339622641509,15.366037735849057,22779.0,-31.474528301886792,29420.0,0.5069767441860469,0.2511627906976756,0.16744186046511736,0.06976744186046498,215000.0
1,Barnet,-37.37358490566038,-12.19245283018868,65.04878048780488,-48.9811320754717,-53.37358490566038,20.30188679245283,29327.0,-37.98018867924528,40530.0,0.6410256410256377,0.1461538461538462,0.07692307692307672,0.13846153846153858,390000.0
2,Bexley,-39.18490566037736,-10.049056603773584,42.1869918699187,-50.17358490566038,-50.35471698113208,18.70566037735849,21700.0,-37.44056603773585,36990.0,0.7862903225806424,0.06854838709677426,0.08467741935483886,0.060483870967741986,248000.0
3,Brent,-37.4,-8.88679245283019,80.02439024390245,-45.22641509433962,-48.867924528301884,18.037735849056602,27303.0,-35.095283018867924,32140.0,0.3109756097560986,0.32621951219512335,0.18902439024390158,0.17073170731707374,328000.0
4,Bromley,-39.56603773584906,-9.762264150943397,28.926829268292682,-52.490566037735846,-56.17358490566038,21.381132075471697,23741.0,-39.49811320754717,43060.0,0.8090909090909116,0.045454545454545414,0.0636363636363639,0.08484848484848488,330000.0
5,Camden,-70.13207547169812,-38.59622641509434,-0.19767441860465115,-69.29433962264152,-64.35094339622641,24.079245283018867,13580.0,-60.593396226415095,43750.0,0.6196078431372576,0.15294117647058855,0.07450980392156845,0.1490196078431369,255000.0
6,City of London,-82.16981132075472,-67.98113207547169,-73.75094339622642,-75.6,-65.84897959183674,,104.0,-72.94795918367348,63620.0,,,,,9000.0
7,Croydon,-40.905660377358494,-9.154716981132076,56.30487804878049,-51.89433962264151,-49.53962264150943,19.286792452830188,29998.0,-37.87358490566038,37000.0,0.5880829015544017,0.1813471502590667,0.1658031088082906,0.062176165803109,386000.0
8,Ealing,-34.80377358490566,-10.969811320754717,54.47560975609756,-50.237735849056605,-50.08301886792453,19.033962264150944,29454.0,-36.52358490566038,36070.0,0.5072886297376125,0.27988338192419837,0.06705539358600601,0.14577259475218726,343000.0
9,Enfield,-33.652830188679246,-10.264150943396226,33.13821138211382,-44.72452830188679,-46.19622641509434,17.230188679245284,29074.0,-33.70943396226415,33110.0,0.6112759643916937,0.10979228486646876,0.21958456973293752,0.05934718100890237,337000.0
10,Greenwich,-40.8,-9.524528301886793,19.215447154471544,-45.35094339622641,-54.83396226415094,20.150943396226417,21628.0,-37.62735849056604,35350.0,0.6267605633802847,0.13732394366197154,0.1690140845070422,0.06690140845070405,284000.0
11,Hackney,-50.25660377358491,-9.581132075471698,58.6219512195122,-54.2,-57.550943396226415,21.430188679245283,21004.0,-42.89716981132076,35140.0,0.5124555160142312,0.11387900355871856,0.2241992882562285,0.14946619217081933,281000.0
12,Hammersmith and Fulham,-56.637735849056604,-25.324528301886794,18.78048780487805,-56.739622641509435,-61.64150943396226,23.4,12433.0,-50.08584905660377,43820.0,0.6611111111111075,0.11111111111111079,0.1277777777777774,0.10555555555555511,180000.0
13,Haringey,-37.90943396226415,-14.950943396226416,50.27235772357724,-51.04528301886793,-55.85283018867924,20.486792452830187,20218.0,-39.93962264150943,35420.0,0.6521739130434776,0.0652173913043477,0.12318840579710152,0.15942028985507253,276000.0
14,Harrow,-39.371212121212125,-11.88679245283019,62.648979591836735,-49.87169811320755,-49.781132075471696,19.460377358490565,19748.0,-37.69507575757576,38880.0,0.44176706827309353,0.3935742971887533,0.052208835341365695,0.11244979919678764,249000.0
15,Havering,-38.58867924528302,-11.6,16.84552845528455,-46.928301886792454,-49.26792452830189,17.89433962264151,26242.0,-36.59622641509434,36670.0,0.8372093023255838,0.05038759689922453,0.05426356589147295,0.0581395348837206,258000.0
16,Hillingdon,-41.58867924528302,-10.984905660377358,53.46747967479675,-65.39245283018867,-48.50566037735849,18.558490566037737,25016.0,-41.617924528301884,37040.0,0.5049180327868871,0.3278688524590182,0.07868852459016398,0.09180327868852439,305000.0
17,Hounslow,-35.867924528301884,-13.558490566037737,40.052845528455286,-47.58490566037736,-48.87924528301887,18.381132075471697,23568.0,-36.47264150943396,35330.0,0.4832713754646826,0.31970260223048264,0.09293680297397727,0.1078066914498138,269000.0
18,Islington,-64.90188679245283,-25.441509433962263,23.365853658536587,-64.64905660377359,-65.58490566037736,25.99245283018868,14493.0,-55.14433962264151,39790.0,0.7021276595744704,0.07234042553191486,0.10638297872340371,0.11914893617021255,235000.0
19,Kensington and Chelsea,-61.947169811320755,-16.181132075471698,-6.0,-61.4188679245283,-59.66415094339623,21.22093023255814,8585.0,-49.802830188679245,55620.0,0.649350649350651,0.11688311688311635,0.09740259740259806,0.14285714285714304,154000.0
20,Kingston upon Thames,-46.1811320754717,-17.47924528301887,21.058823529411764,-54.237735849056605,-56.59245283018868,21.68679245283019,11692.0,-43.62264150943396,43940.0,0.6949152542372874,0.16949152542372956,0.016949152542372843,0.11864406779660969,177000.0
21,Lambeth,-53.6188679245283,-15.19622641509434,12.34,-63.132075471698116,-58.75094339622642,23.747169811320756,23476.0,-47.674528301886795,38490.0,0.5308641975308628,0.08641975308642003,0.23456790123456847,0.15123456790123418,324000.0
22,Lewisham,-34.72452830188679,-4.30188679245283,65.50813008130082,-50.41509433962264,-57.426415094339625,21.99622641509434,21120.0,-36.716981132075475,35900.0,0.632786885245904,0.07540983606557425,0.19016393442623025,0.09836065573770458,305000.0
23,Merton,-43.98490566037736,-14.264150943396226,29.747967479674795,-53.41132075471698,-54.72075471698113,21.18867924528302,15575.0,-41.595283018867924,41960.0,0.6521739130434776,0.16908212560386462,0.07729468599033842,0.1014492753623192,207000.0
24,Newham,-45.384905660377356,-13.222641509433963,118.59349593495935,-51.22641509433962,-51.324528301886794,18.27169811320755,34356.0,-40.28962264150943,28780.0,0.31623931623931756,0.47293447293447166,0.13390313390313305,0.07692307692307672,351000.0
25,Redbridge,-33.39622641509434,-10.067924528301887,51.04471544715447,-50.31320754716981,-52.29056603773585,18.70188679245283,31775.0,-36.51698113207547,36860.0,0.46579804560260796,0.4104234527687286,0.06514657980456015,0.05863192182410383,307000.0
26,Richmond upon Thames,-44.40909090909091,-11.377358490566039,36.15040650406504,-55.76603773584905,-62.12452830188679,22.78787878787879,10328.0,-43.395833333333336,53470.0,0.8673469387755117,0.05612244897959161,,0.07142857142857152,196000.0
