,borough_abbr,income_status,Total annual income (£),retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,tot_mobility
0,Adur,Mid Income,39500.0,-24.22077922077922,-8.294372294372295,-1.3,-37.77489177489178,-43.472,14.516260162601625,-28.417748917748916
1,Allerdale,Low Income,36700.0,-29.458874458874458,-6.692640692640692,46.819383259911895,-21.086580086580085,-38.888,13.012,-24.095238095238095
2,Amber Valley,Mid Income,41450.0,-35.32034632034632,-10.995983935742972,27.363636363636363,-29.926406926406926,-41.824,14.72,-29.52705627705628
3,Arun,Mid Income,39000.0,-30.848484848484848,-4.992,62.161572052401745,-36.71861471861472,-35.484,12.488,-27.123376623376622
4,Ashfield,Low Income,36150.0,-35.891774891774894,-14.036,26.030837004405285,-25.636363636363637,-36.324,13.308,-28.005411255411257
5,Ashford,Mid Income,46850.0,-37.67948717948718,-9.978991596638656,23.861471861471863,-43.42,-44.004,15.332,-33.80555555555556
6,Aylesbury Vale,High Income,55300.0,-33.84552845528455,-11.42,23.666666666666668,-41.04489795918367,-46.304,17.436,-33.157407407407405
7,Babergh,Mid Income,44000.0,-37.35497835497836,-13.67965367965368,25.295652173913044,-17.917748917748916,-40.664,14.085365853658537,-27.417748917748916
8,Barking and Dagenham,Mid Income,42300.0,-32.76,-8.596,49.94805194805195,-39.52,-43.332,15.172,-31.052
9,Barnet,High Income,54500.0,-36.428,-11.856,67.31168831168831,-48.196,-53.004,20.036,-37.371
10,Barrow-in-Furness,Low Income,35950.0,-33.81818181818182,-7.658008658008658,,-45.731601731601735,-40.064,12.910931174089068,-31.826839826839826
11,Basildon,Mid Income,41650.0,-32.744,-15.364,-12.06060606060606,-51.212,-46.3,16.304,-36.405
12,Basingstoke and Deane,High Income,56450.0,-40.052,-11.664,31.463203463203463,-48.856,-48.288,17.984,-37.215
13,Bassetlaw,Mid Income,38050.0,-33.73593073593074,-9.175213675213675,1.25764192139738,-29.506493506493506,-33.696,12.184,-26.545454545454547
14,Bexley,High Income,50550.0,-38.196,-9.8,43.25974025974026,-49.192,-49.932,18.444,-36.78
15,Birmingham,Low Income,36200.0,-42.416,-15.164,4.568548387096774,-54.076,-45.1,15.288,-39.189
16,Blaby,Mid Income,44750.0,-44.316017316017316,-4.54978354978355,,-32.21285140562249,-42.784,15.9,-31.308441558441558
17,Bolsover,Low Income,35050.0,-41.333333333333336,-4.9480519480519485,,-21.26839826839827,-35.528,12.51004016064257,-25.775974025974026
18,Bolton,Low Income,35900.0,-35.752,-12.74,11.069264069264069,-43.412,-41.136,14.62,-33.26
19,Boston,Low Income,33200.0,-31.225108225108226,-6.233766233766234,-34.72727272727273,-22.818181818181817,-28.252,9.112,-22.100649350649352
20,Bradford,Low Income,36600.0,-35.656,-12.96,30.372294372294373,-45.0,-42.712,14.432,-34.082
21,Braintree,Mid Income,45000.0,-36.121212121212125,-13.586345381526105,-11.419354838709678,-44.71861471861472,-41.52,15.544,-34.03679653679654
22,Breckland,Mid Income,40000.0,-30.99134199134199,-11.580645161290322,13.557692307692308,-29.350649350649352,-34.552,12.26,-26.636363636363637
23,Brent,High Income,50300.0,-36.544,-8.796,83.08658008658008,-44.484,-48.48,17.82,-34.576
24,Brentwood,High Income,50800.0,-34.12987012987013,-14.571428571428571,0.22727272727272727,-55.28215767634855,-51.348,17.175355450236967,-38.8051948051948
25,Broadland,Mid Income,43100.0,-30.649350649350648,-23.050420168067227,33.21212121212121,-25.627705627705627,-42.184,15.096385542168674,-30.32792207792208
26,Bromley,High Income,58300.0,-38.548,-9.572,30.004329004329005,-51.668,-55.656,21.06,-38.861
27,Bromsgrove,Mid Income,45350.0,-32.78354978354978,-13.281385281385282,18.719101123595507,-27.874458874458874,-45.42,16.346774193548388,-29.817099567099568
28,Broxbourne,Mid Income,42900.0,-38.489177489177486,-4.190476190476191,14.860869565217392,-45.73029045643153,-43.656,16.056451612903224,-33.006493506493506
29,Broxtowe,Mid Income,44050.0,-40.99152542372882,-13.652,9.393939393939394,-35.644,-48.036,16.496,-34.744703389830505
30,Bury,Mid Income,40950.0,-34.736,-11.5,28.061135371179038,-39.90376569037657,-45.36,16.012,-33.2071129707113
31,Calderdale,Mid Income,38200.0,-38.112,-14.196,-27.333333333333332,-34.304,-41.74,15.14,-32.088
32,Cambridge,High Income,48700.0,-51.748,-14.976,23.774891774891774,-64.288,-58.16,22.692,-47.293
33,Camden,High Income,51350.0,-69.26,-38.376,0.934156378600823,-68.672,-63.888,23.756,-60.049
34,Cannock Chase,Mid Income,38100.0,-28.427350427350426,-11.065843621399177,33.245535714285715,-41.086580086580085,-38.192,13.82,-29.748917748917748
35,Castle Point,Mid Income,42750.0,-30.72294372294372,-8.264069264069263,,-47.63203463203463,-43.92,15.439024390243903,-32.62229437229437
36,Charnwood,Mid Income,42900.0,-33.13306451612903,-11.452,25.85589519650655,-39.97835497835498,-44.144,16.584,-32.6482683982684
37,Chelmsford,High Income,50500.0,-38.868,-15.196,47.64935064935065,-50.028,-48.828,18.32,-38.23
38,Cheltenham,Mid Income,44600.0,-43.675213675213676,-11.354978354978355,41.22374429223744,-45.91428571428571,-46.192,16.850806451612904,-36.81277056277056
39,Cherwell,High Income,53200.0,-35.16528925619835,-11.28,2.45021645021645,-38.224,-43.064,16.616,-32.071280991735534
40,Chesterfield,Low Income,34100.0,-41.52719665271967,-11.758064516129032,10.234375,-36.096,-38.264,13.824,-32.01882845188285
41,Chichester,Mid Income,45900.0,-39.0,-4.926406926406926,26.138528138528137,-39.316017316017316,-40.808,14.205645161290322,-31.003246753246753
42,Chiltern,High Income,60950.0,-42.55411255411256,-19.783549783549784,6.953125,-55.121212121212125,-52.764,18.844827586206897,-42.51623376623377
43,Chorley,Mid Income,41250.0,-37.268398268398265,-11.64344262295082,40.77168949771689,-29.155844155844157,-42.728,15.744,-30.163419913419915
44,City of London,High Income,65400.0,-81.488,-67.528,-72.736,-75.048,-65.27826086956522,,-72.35
45,Copeland,Mid Income,37350.0,-32.753246753246756,-11.683982683982684,16.800904977375566,-29.350649350649352,-43.856,12.881578947368421,-29.453463203463205
46,Corby,Low Income,35100.0,-35.84415584415584,-8.70995670995671,,-27.98701298701299,-31.392,12.284,-25.956709956709958
47,Cotswold,Mid Income,45900.0,-34.25541125541125,-15.367965367965368,26.96969696969697,-27.194805194805195,-41.384,14.886178861788618,-29.57900432900433
48,Coventry,Mid Income,39000.0,-38.352,-11.68,23.8008658008658,-50.712,-46.208,15.28,-36.738
49,Craven,Mid Income,41150.0,-30.748917748917748,-14.8008658008658,38.33482142857143,-31.865800865800868,-41.976,12.745283018867925,-29.84090909090909
50,Crawley,Mid Income,45900.0,-42.25,-13.292,13.5,-71.788,-45.244,17.076,-43.125
51,Croydon,High Income,53250.0,-40.016,-8.936,58.16883116883117,-51.132,-49.136,19.016,-37.305
52,Dacorum,High Income,50350.0,-39.14529914529915,-14.216,20.255411255411257,-47.03030303030303,-47.548,17.76,-36.98809523809524
53,Dartford,High Income,50600.0,-39.092369477911646,-0.09523809523809523,-13.444444444444445,-45.968,-46.212,17.772,-33.62662337662338
54,Daventry,High Income,49300.0,-35.515151515151516,-5.770562770562771,7.199004975124378,-31.14468085106383,-41.236,15.577235772357724,-28.467532467532468
55,Derbyshire Dales,Mid Income,46300.0,-35.943722943722946,-4.268398268398268,-26.73160173160173,-16.19047619047619,-41.788,13.290909090909091,-24.547619047619047
56,Doncaster,Low Income,35000.0,-33.952,-7.54,23.77056277056277,-46.612,-36.424,12.352,-31.132
57,Dover,Mid Income,40750.0,-34.38528138528139,-9.337662337662337,25.88744588744589,-17.852,-36.536,13.028,-24.689393939393938
58,Dudley,Mid Income,38300.0,-36.112,-9.248,15.367965367965368,-32.308,-41.876,14.744,-29.886
59,Ealing,High Income,52900.0,-34.008,-10.72,56.78354978354978,-49.524,-49.7,18.792,-35.988
60,East Cambridgeshire,High Income,48550.0,-38.1948051948052,-18.83982683982684,4.28125,-52.056277056277054,-46.5,16.735772357723576,-38.84848484848485
61,East Devon,Mid Income,40800.0,-29.0,-0.008658008658008658,75.83116883116882,-29.943722943722943,-39.496,13.172,-24.62987012987013
62,East Hampshire,High Income,51800.0,-37.03030303030303,-15.29004329004329,34.943722943722946,-40.02597402597402,-42.908,17.072580645161292,-33.765151515151516
63,East Hertfordshire,High Income,50850.0,-41.103896103896105,-15.696581196581196,20.705627705627705,-50.88,-50.04,19.34538152610442,-39.81818181818182
64,East Lindsey,Low Income,33900.0,-11.432900432900434,6.51948051948052,98.22707423580786,-12.935064935064934,-29.42,10.248,-11.954545454545455
65,East Northamptonshire,Mid Income,45700.0,-35.56709956709957,-9.904761904761905,24.285714285714285,-26.506493506493506,-40.56,14.778225806451612,-28.102813852813853
66,East Staffordshire,Mid Income,41800.0,-37.77350427350427,-12.979508196721312,23.955555555555556,-38.3982683982684,-38.164,13.796,-31.885281385281385
67,Eastbourne,Mid Income,37100.0,-39.03846153846154,-8.212244897959184,58.83495145631068,-40.523809523809526,-39.576,13.388,-31.97294372294372
68,Eastleigh,High Income,48600.0,-38.23931623931624,-15.76,46.56331877729258,-48.3,-44.864,16.88,-36.77884615384615
69,Eden,Mid Income,39600.0,-28.645021645021647,-2.6714975845410627,17.349344978165938,-22.844155844155843,-39.2801724137931,10.292929292929292,-25.28864734299517
70,Elmbridge,High Income,65950.0,-39.21645021645022,-8.008658008658008,47.82096069868996,-42.452,-55.184,20.55060728744939,-36.527056277056275
71,Enfield,Mid Income,46900.0,-32.824,-10.08,35.61038961038961,-43.936,-45.804,16.988,-33.161
72,Epping Forest,Mid Income,47700.0,-35.878787878787875,-10.722943722943723,47.1140350877193,-48.428,-46.968,17.63855421686747,-35.54112554112554
73,Epsom and Ewell,High Income,63400.0,-42.06060606060606,-2.7012987012987013,47.23348017621145,-54.47933884297521,-54.548,19.703196347031962,-38.404761904761905
74,Erewash,Mid Income,40700.0,-37.22510822510822,-6.751054852320675,37.566820276497694,-32.35497835497836,-40.924,15.308,-29.299783549783548
75,Exeter,Mid Income,42100.0,-43.196,-20.54,32.916666666666664,-42.116,-49.248,15.732,-38.775
76,Fareham,High Income,52650.0,-38.73706896551724,-13.832635983263598,40.0,-44.0,-46.228,16.592741935483872,-35.64502164502164
77,Fenland,Mid Income,40200.0,-36.63636363636363,-6.51948051948052,-6.588744588744588,-28.428571428571427,-36.096,11.416,-26.886363636363637
78,Forest of Dean,Mid Income,40500.0,-31.16883116883117,-2.688311688311688,43.887445887445885,-22.246753246753247,-39.26,13.5,-23.82900432900433
79,Gedling,Mid Income,42400.0,-36.02597402597402,-10.987951807228916,-15.538461538461538,-17.896103896103895,-46.308,16.048,-27.757575757575758
80,Gloucester,Mid Income,37700.0,-38.62903225806452,-15.596,14.42608695652174,-44.69421487603306,-41.896,14.848,-35.37033195020747
81,Gosport,Mid Income,44650.0,-30.11255411255411,-3.316017316017316,12.390374331550802,-32.073593073593074,-38.824,14.329317269076306,-26.054112554112553
82,Gravesham,Mid Income,45700.0,-27.7012987012987,-9.705128205128204,-16.92207792207792,-40.268398268398265,-42.42,15.504,-30.02922077922078
83,Great Yarmouth,Low Income,35800.0,-23.3982683982684,-1.5367965367965368,55.34061135371179,-21.064935064935064,-33.456,10.268,-19.93831168831169
84,Greenwich,High Income,49700.0,-39.756,-9.24,20.558441558441558,-44.584,-54.332,19.88,-36.978
85,Hackney,High Income,49900.0,-49.232,-9.372,60.63636363636363,-53.408,-57.124,21.152,-42.284
86,Hambleton,Mid Income,42200.0,-36.82251082251082,-13.0995670995671,19.685589519650655,-54.73593073593074,-39.876,13.516260162601625,-36.112554112554115
87,Hammersmith and Fulham,High Income,56600.0,-55.616,-25.12,20.385281385281385,-56.124,-61.14,23.084,-49.5
88,Harborough,High Income,51200.0,-38.46320346320346,-8.13852813852814,-20.708333333333332,-34.14718614718615,-43.908,16.133603238866396,-31.16017316017316
89,Haringey,Mid Income,47950.0,-36.916,-14.672,52.883116883116884,-50.316,-55.408,20.22,-39.328
90,Harlow,Mid Income,41000.0,-34.123931623931625,4.264069264069264,-18.7,-35.90909090909091,-36.648,14.528,-25.663419913419915
91,Harrow,High Income,56100.0,-38.437751004016064,-11.752,65.0695652173913,-49.224,-49.476,19.24,-37.18674698795181
92,Hart,High Income,63400.0,-44.922077922077925,-4.653679653679654,27.74122807017544,-36.32113821138211,-52.268,18.971544715447155,-34.98701298701299
93,Hastings,Low Income,36400.0,-31.064935064935064,-10.2987012987013,49.22330097087379,-32.44396551724138,-39.276,12.888,-28.28787878787879
94,Havant,Mid Income,42700.0,-38.79220779220779,-11.712,19.50588235294118,-35.307359307359306,-42.112,14.408,-32.02272727272727
95,Havering,High Income,48300.0,-37.556,-11.308,18.337662337662337,-46.412,-48.908,17.64,-36.046
96,Hertsmere,High Income,48100.0,-36.74458874458875,-7.212121212121212,16.108695652173914,-42.576,-49.168,18.758064516129032,-34.13095238095238
97,High Peak,Mid Income,43900.0,-39.61471861471861,-3.051948051948052,163.47560975609755,-35.34199134199134,-42.716,15.173387096774194,-30.1504329004329
98,Hillingdon,High Income,53650.0,-40.932,-10.816,55.064935064935064,-64.848,-48.144,18.336,-41.185
99,Hinckley and Bosworth,Mid Income,45500.0,-34.58874458874459,-7.489177489177489,6.470588235294118,-31.744588744588743,-43.816,15.53012048192771,-29.42965367965368
100,Horsham,High Income,53050.0,-38.19047619047619,-8.166666666666666,47.04347826086956,-45.11392405063291,-46.564,17.313253012048193,-34.495670995671
101,Hounslow,High Income,52200.0,-35.06,-13.364,41.714285714285715,-46.868,-48.556,18.168,-35.962
102,Huntingdonshire,High Income,49450.0,-41.0210970464135,-10.66,37.66233766233766,-37.416,-44.14,16.48,-33.43248945147679
103,Hyndburn,Low Income,36700.0,-35.72727272727273,-7.064935064935065,-16.692307692307693,-28.982683982683984,-38.212,13.084,-27.496753246753247
104,Ipswich,Mid Income,41150.0,-45.668,-11.244,37.142857142857146,-47.728,-41.108,14.58,-36.437
105,Islington,High Income,52700.0,-64.032,-25.168,24.4978354978355,-64.02,-65.104,25.66,-54.581
106,Kensington and Chelsea,High Income,58100.0,-60.952,-16.084,-5.1558441558441555,-60.828,-59.168,20.905349794238685,-49.258
107,King's Lynn and West Norfolk,Mid Income,40000.0,-30.203463203463205,-9.74074074074074,49.83116883116883,-27.406926406926406,-34.304,11.796,-25.505411255411257
108,Kingston upon Thames,High Income,60450.0,-44.872,-17.168,20.03076923076923,-53.472,-56.12,21.372,-42.908
109,Lambeth,High Income,54400.0,-52.704,-15.088,13.719148936170212,-62.512,-58.324,23.428,-47.157
110,Lancaster,Mid Income,38350.0,-37.639830508474574,-6.550607287449393,21.51082251082251,-33.86,-37.14,13.784,-29.0625
111,Leeds,Mid Income,39800.0,-45.096,-15.8,30.341772151898734,-57.284,-49.904,17.396,-42.021
112,Lewes,Mid Income,41300.0,-37.112554112554115,-10.519480519480519,33.28402366863905,-36.7198275862069,-45.352,14.605691056910569,-32.38528138528139
113,Lewisham,High Income,52450.0,-33.94,-4.044,67.0952380952381,-49.588,-56.968,21.692,-36.135
114,Lichfield,Mid Income,46400.0,-41.57142857142857,-12.194805194805195,21.792207792207794,-44.60606060606061,-44.324,15.42570281124498,-35.66883116883117
